2024-09-17 20:40:45.077 | INFO     | __main__:<module>:27 | starting bot | {}
2024-09-18 07:34:56.547 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065275, 'message_id': 50, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 173.5}
2024-09-18 08:32:14.826 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065276, 'message_id': 52, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 08:32:15.291 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065276, 'message_id': 52, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 464.6}
2024-09-18 16:43:50.512 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 16:45:50.647 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065277, 'message_id': 54, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:45:51.016 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065277, 'message_id': 54, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/start', 'entities': [MessageEntity(type='bot_command', offset=0, length=6, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 369.2}
2024-09-18 16:45:56.450 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065278, 'message_id': 56, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None}
2024-09-18 16:45:56.658 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065278, 'message_id': 56, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'ИБМ6-12Б', 'entities': None, 'process_result': True, 'spent_time_ms': 208.6}
2024-09-18 16:46:06.076 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065279, 'message_id': 58, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:22.018 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065280, 'message_id': 59, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:23.727 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065280, 'message_id': 59, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1709.3}
2024-09-18 16:46:29.510 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065281, 'message_id': 61, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:29.622 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065281, 'message_id': 61, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 112.0}
2024-09-18 16:46:32.083 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065282, 'message_id': 63, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:32.285 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065282, 'message_id': 63, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 202.2}
2024-09-18 16:46:33.942 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065283, 'message_id': 65, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:34.086 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065283, 'message_id': 65, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 144.6}
2024-09-18 16:46:38.842 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065279, 'message_id': 58, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 32766.4}
2024-09-18 16:46:43.921 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065284, 'message_id': 68, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 16:46:44.046 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065284, 'message_id': 68, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 125.0}
2024-09-18 17:02:16.352 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 17:02:20.242 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065285, 'message_id': 70, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 17:02:20.290 | DEBUG    | src.handlers.commands:week_cmd:32 | parsing schedule | {}
2024-09-18 17:02:47.427 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 17:02:52.162 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065286, 'message_id': 71, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 17:02:52.200 | DEBUG    | src.handlers.commands:week_cmd:32 | parsing schedule | {}
2024-09-18 17:02:54.123 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065286, 'message_id': 71, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 1960.9}
2024-09-18 17:03:00.314 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065287, 'message_id': 73, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 17:03:00.430 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065287, 'message_id': 73, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 116.3}
2024-09-18 17:03:19.238 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065288, 'message_id': 75, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 17:03:19.488 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065288, 'message_id': 75, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 249.9}
2024-09-18 17:26:20.013 | DEBUG    | src.middlewares.logging:__call__:54 | Received message | {'update_id': 599065289, 'message_id': 77, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 17:26:20.286 | INFO     | src.middlewares.logging:__call__:114 | Handled message | {'update_id': 599065289, 'message_id': 77, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 273.0}
2024-09-18 20:46:41.541 | INFO     | __main__:<module>:5 | starting bot | {}
2024-09-18 20:46:50.773 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065290, 'message_id': 79, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'Кто сейчас свободен?', 'entities': None}
2024-09-18 20:46:50.774 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065290, 'message_id': 79, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': 'Кто сейчас свободен?', 'entities': None, 'process_result': True, 'spent_time_ms': 1.4}
2024-09-18 20:46:54.131 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065291, 'message_id': 80, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 20:46:54.190 | DEBUG    | src.handlers.commands:week_cmd:33 | parsing schedule | {}
2024-09-18 20:47:09.756 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065292, 'message_id': 81, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '🔔 Уведомления', 'entities': None}
2024-09-18 20:47:09.760 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065292, 'message_id': 81, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '🔔 Уведомления', 'entities': None, 'process_result': True, 'spent_time_ms': 4.2}
2024-09-18 20:47:28.930 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065293, 'message_id': 82, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 20:47:28.947 | DEBUG    | src.handlers.commands:week_cmd:33 | parsing schedule | {}
2024-09-18 20:47:31.770 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065291, 'message_id': 80, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 37639.3}
2024-09-18 20:47:35.236 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065294, 'message_id': 84, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 20:47:35.423 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065294, 'message_id': 84, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 186.6}
2024-09-18 20:47:37.307 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065295, 'message_id': 86, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)]}
2024-09-18 20:47:38.300 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065295, 'message_id': 86, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 993.0}
2024-09-18 20:48:03.197 | INFO     | src.middlewares.logging:__call__:111 | Handled message | {'update_id': 599065293, 'message_id': 82, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '/week', 'entities': [MessageEntity(type='bot_command', offset=0, length=5, url=None, user=None, language=None, custom_emoji_id=None)], 'process_result': True, 'spent_time_ms': 34267.6}
2024-09-18 20:49:12.801 | DEBUG    | src.middlewares.logging:__call__:51 | Received message | {'update_id': 599065296, 'message_id': 89, 'chat_type': 'private', 'chat_id': 1084574418, 'user_id': 1084574418, 'text': '🔔 Уведомления', 'entities': None}
